car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
sonata,2020,fender (r/r),500,500,3218.47
sonata,2020,front bumper,219.36, 650,1024.29
sonata,2020,headlight (l),316.11,529.65,"3,205"
sonata,2020,headlight (r),294.31,470,"3,205"
sonata,2020,passenger door (f/l),2322.13,2322.13,2717.87
sonata,2020,passenger door (r/l),600,600,2877.89
sonata,2020,passenger door (r/r),600,600,2877.89
sonata,2020,rear bumper,363.52,585,612.02
sonata,2020,rear light (l),207.1,1118,1541.86
sonata,2020,rear light (r),207.1,1118,1541.86
sonata,2020,side bumper(l),863.95,863.95,863.95
sonata,2020,side bumper(r),863.95,863.95,863.95
sonata,2021,car boot,2148,2031,2494.76
sonata,2021,car hood,501.4,932,3031.72
sonata,2021,driver door(f/r),814.78,814.78,2717.87
sonata,2021,fender (f/l),207.1,961,1514.66
sonata,2021,fender (f/r),275.77,1035,1514.66
sonata,2021,fender (r/l),207.1,207.1,3218.47
sonata,2021,fender (r/r),275.77,275.77,3218.47
sonata,2021,front bumper,219.36,650,1024.29
sonata,2021,headlight (l),316.11,322,"3,205"
sonata,2021,headlight (r),294.31,417,"3,205"
sonata,2021,passenger door (f/l),814.78,2322.13,2717.87
sonata,2021,passenger door (r/l),814.78,814.78,2877.89
sonata,2021,passenger door (r/r),814.78,814.78,2877.89
sonata,2021,rear bumper,363.52,585,612.02
sonata,2021,rear light (l),207.1,1118,1242.74
sonata,2021,rear light (r),207.1,1118,1242.74
sonata,2021,side bumper(l),null,null,863.95
sonata,2021,side bumper(r),null,null,863.95
sonata,2022,car boot,1400,1372,2494.76
sonata,2022,car hood,501.4,932,3031.72
sonata,2022,driver door(f/r),814.78,814.78,2717.87
sonata,2022,fender (f/l),207.1,961,1514.66
sonata,2022,fender (f/r),275.77,1035,1514.66
sonata,2022,fender (r/l),207.1,207.1,3218.47
sonata,2022,fender (r/r),275.77,275.77,3218.47
sonata,2022,front bumper,977.5,650,1024.29
sonata,2022,headlight (l),690,507,"3,205"
sonata,2022,headlight (r),690,507,"3,205"
sonata,2022,passenger door (f/l),814.78,2322.13,2717.87
sonata,2022,passenger door (r/l),814.78,814.78,2877.89
sonata,2022,passenger door (r/r),814.78,814.78,2877.89
sonata,2022,rear bumper,1300,1300,612.02
sonata,2022,rear light (l),716,1118,1387.5
sonata,2022,rear light (r),716,1118,1387.5
sonata,2022,side bumper(l),null,null,863.95
sonata,2022,side bumper(r),null,null,863.95
